Script started on 2024-04-29 14:55:11+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
^[[B^[[DConfig updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '2', 'radar1_en': 'True', 'radar2_en': 'True', 'radar3_en': 'True', 'radar4_en': 'True', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:56:56 [(361.67, 2076.67)]
14:56:56 [(274.0, 2090.0)]
14:56:57 [(214.0, 2086.33)]
14:56:57 [(149.67, 2084.67)]
14:56:57 [(76.33, 2089.0)]
14:56:57 [(-8.67, 2092.33)]
14:56:57 [(-85.0, 2094.0)]
14:56:57 [(-164.33, 2088.0)]
14:56:57 [(-248.67, 2088.67)]
14:56:57 [(-324.33, 2089.67)]
14:56:57 [(-393.67, 2095.33)]
14:56:57 [(-466.0, 2106.67)]
14:56:57 [(-546.33, 2113.0)]
14:56:58 [(-631.33, 2110.33)]
14:56:58 [(-718.33, 2117.67)]
14:56:58 [(-856.33, 2135.67)]
14:56:58 [(-934.0, 2138.0)]
14:56:58 [(-1010.67, 2130.0)]
14:56:58 [(-1094.67, 2110.67)]
14:56:58 [(-1181.0, 2076.0)]
14:56:58 [(-1258.67, 2044.33)]
14:56:58 [(-1322.0, 2009.0)]
14:56:58 [(-1365.67, 1968.67)]
14:56:58 [(-1413.67, 1936.33)]
14:56:59 [(-1453.67, 1911.0)]
14:56:59 [(-1476.33, 1879.0)]
14:56:59 [(-1496.0, 1852.0)]
14:56:59 [(-1537.0, 1834.33)]
14:56:59 [(-1578.0, 1815.0)]
14:56:59 [(-1617.67, 1808.33)]
14:56:59 [(-1655.67, 1805.0)]
14:56:59 [(-1619.5, 1720.5)]
14:56:59 [(-1641.0, 1721.5)]
14:56:59 [(-1671.0, 1714.5)]
14:56:59 [(-1698.0, 1704.0)]
14:57:00 [(-1722.5, 1703.0)]
14:57:00 [(-1715.5, 1718.5)]
14:57:00 [(-1730.5, 1721.5)]
14:57:00 [(-1759.0, 1713.5)]
14:57:00 [(-1781.0, 1685.5)]
14:57:00 [(-1972.67, 1686.33)]
14:57:00 [(-1972.67, 1627.0)]
14:57:00 [(-1979.67, 1568.33)]
14:57:00 [(-1989.5, 1522.0)]
14:57:00 [(-2016.25, 1458.5)]
14:57:00 [(-2036.25, 1398.75)]
14:57:01 [(-2050.75, 1326.25)]
14:57:01 [(-2053.75, 1256.25)]
14:57:01 [(-2044.5, 1193.0)]
14:57:01 [(-2037.75, 1128.25)]
14:57:01 [(-2053.5, 1037.5)]
14:57:01 [(-2067.75, 970.75)]
14:57:01 [(-2072.5, 914.5)]
