Script started on 2024-04-29 14:06:23+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'True', 'radar2_en': 'False', 'radar3_en': 'False', 'radar4_en': 'False', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:08:18 [(-129.0, -2360.0)]
14:08:18 [(-145.0, -2374.0)]
14:08:18 [(-155.0, -2380.0)]
14:08:18 [(-158.0, -2379.0)]
14:08:18 [(-158.0, -2370.0)]
14:08:18 [(-151.0, -2354.0)]
14:08:18 [(-147.0, -2346.0)]
14:08:18 [(-143.0, -2336.0)]
14:08:18 [(-140.0, -2324.0)]
14:08:19 [(-132.0, -2310.0)]
14:08:19 [(-128.0, -2293.0)]
14:08:19 [(-122.0, -2239.0)]
14:08:19 [(-132.0, -2182.0)]
14:08:19 [(-152.0, -2072.0)]
14:08:19 [(-173.0, -1967.0)]
14:08:19 [(-208.0, -1861.0)]
14:08:19 [(-232.0, -1758.0)]
14:08:19 [(-244.0, -1650.0)]
14:08:19 [(-227.0, -1545.0)]
14:08:19 [(-195.0, -1451.0)]
14:08:20 [(-153.0, -1353.0)]
14:08:20 [(-123.0, -1257.0)]
14:08:20 [(-80.0, -1163.0)]
14:08:20 [(-15.0, -1071.0)]
14:08:20 [(27.0, -974.0)]
14:08:20 [(15.0, -877.0)]
14:08:20 [(-17.0, -782.0)]
14:08:20 [(-62.0, -684.0)]
14:08:20 [(-91.0, -585.0)]
14:08:20 [(-100.0, -488.0)]
14:08:20 [(-88.0, -397.0)]
14:08:21 [(-78.0, -301.0)]
14:08:21 [(-78.0, -204.0)]
14:08:21 [(-85.0, -114.0)]
14:08:21 [(-96.0, -27.0)]
14:08:21 [(-125.0, 63.0)]
14:08:21 [(-156.0, 149.0)]
14:08:21 [(-170.0, 231.0)]
14:08:21 [(-205.0, 309.0)]
14:08:21 [(-230.0, 392.0)]
14:08:21 [(-248.0, 478.0)]
14:08:21 [(-264.0, 566.0)]
14:08:22 [(-270.0, 646.0)]
14:08:22 [(-271.0, 726.0)]
14:08:22 [(-290.0, 807.0)]
14:08:22 [(-290.0, 890.0)]
14:08:22 [(-309.0, 972.0)]
14:08:22 [(-369.0, 1050.0)]
14:08:22 [(-417.0, 1133.0)]
14:08:22 [(-417.0, 1232.0)]
14:08:22 [(-305.0, 1341.0)]
14:08:22 [(-212.0, 1447.0)]
14:08:22 [(-185.0, 1524.0)]
14:08:23 [(-151.0, 1598.0)]
14:08:23 [(19.0, 1670.0)]
14:08:23 [(186.0, 1739.0)]
14:08:23 [(323.0, 1801.0)]
14:08:23 [(289.0, 1840.0)]
14:08:23 [(169.0, 1888.0)]
14:08:23 [(45.0, 1930.0)]
14:08:23 [(-43.0, 1971.0)]
14:08:23 [(-124.0, 2009.0)]
14:08:23 [(-196.0, 2044.0)]
14:08:23 [(-196.0, 2072.0)]
14:08:23 [(-178.0, 2096.0)]
14:08:24 [(-163.0, 2119.0)]
14:08:24 [(-123.0, 2167.0)]
14:08:24 [(-121.0, 2196.0)]
14:08:24 [(-123.0, 2209.0)]
14:08:24 [(-138.0, 2211.0)]
14:08:24 [(-151.0, 2206.0)]
14:08:24 [(-153.0, 2206.0)]
14:08:24 [(-158.0, 2205.0)]
14:08:24 [(-168.0, 2204.0)]
14:08:24 [(-176.0, 2202.0)]
14:08:24 [(-184.0, 2199.0)]
14:08:25 [(-195.0, 2195.0)]
14:08:25 [(-208.0, 2190.0)]
14:08:25 [(-220.0, 2186.0)]
14:08:25 [(-231.0, 2181.0)]
14:08:25 [(-243.0, 2177.0)]
14:08:25 [(-253.0, 2173.0)]
14:08:25 [(-264.0, 2169.0)]
14:08:25 [(-274.0, 2165.0)]
14:08:25 [(-284.0, 2161.0)]
14:08:25 [(-293.0, 2157.0)]
14:08:25 [(-304.0, 2158.0)]
14:08:26 [(-315.0, 2160.0)]
14:08:26 [(-323.0, 2160.0)]
14:08:26 [(-332.0, 2164.0)]
14:08:26 [(-340.0, 2168.0)]
14:08:26 [(-343.0, 2170.0)]
14:08:26 [(-341.0, 2168.0)]
14:08:26 [(-336.0, 2164.0)]
14:08:26 [(-332.0, 2160.0)]
14:08:26 [(-333.0, 2158.0)]
14:08:26 [(-336.0, 2155.0)]
14:08:26 [(-334.0, 2156.0)]
14:08:26 [(-330.0, 2159.0)]
