Script started on 2024-04-29 14:51:01+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Connected to MQTT broker.
14:52:08 [(154.0, -1111.5)]
14:52:08 [(226.0, -1091.0)]
14:52:08 [(295.5, -1075.0)]
14:52:08 [(364.5, -1061.5)]
14:52:09 [(418.5, -1056.0)]
14:52:09 [(485.0, -1061.5)]
14:52:09 [(563.5, -1060.0)]
14:52:09 [(660.5, -1064.5)]
14:52:09 [(747.0, -1051.5)]
14:52:09 [(833.5, -1035.0)]
14:52:09 [(910.5, -1029.5)]
14:52:09 [(976.5, -1033.0)]
14:52:09 [(1032.0, -1044.5)]
14:52:09 [(1080.0, -1051.5)]
14:52:09 [(1127.5, -1046.5)]
14:52:10 [(1169.5, -1034.0)]
14:52:10 [(1217.5, -1029.5)]
14:52:10 [(1253.5, -1030.5)]
14:52:10 [(1287.0, -1033.5)]
14:52:10 [(1327.0, -1039.5)]
14:52:10 [(1362.0, -1044.5)]
14:52:10 [(1386.5, -1045.0)]
14:52:10 [(1402.0, -1033.0)]
14:52:10 [(1408.5, -1021.0)]
14:52:10 [(1411.5, -1013.5)]
14:52:10 [(1418.5, -1010.5)]
14:52:10 [(1419.5, -1009.5)]
14:52:11 [(1418.5, -1006.5)]
14:52:11 [(1417.5, -999.0)]
14:52:11 [(1423.0, -962.0)]
14:52:11 [(1429.5, -920.5)]
14:52:11 [(1434.5, -885.5)]
14:52:11 [(1445.0, -863.5)]
14:52:11 [(1454.5, -841.5)]
14:52:11 [(1488.0, -808.5)]
14:52:11 [(1569.0, -740.5)]
14:52:11 [(1710.0, -640.0)]
14:52:11 [(1825.0, -527.0)]
14:52:12 []
14:52:12 []
14:52:12 []
14:52:12 []
14:52:12 []
14:52:12 []
14:52:12 []
14:52:12 []
14:52:12 []
14:52:12 []
14:52:12 []
14:52:13 []
14:52:13 []
14:52:13 []
14:52:13 []
14:52:13 []
14:52:13 []
14:52:13 [(1998.0, 1383.0)]
14:52:13 [(1887.5, 1443.0)]
14:52:13 [(1789.0, 1480.0)]
14:52:13 [(1705.0, 1524.5)]
14:52:13 [(1664.5, 1581.5)]
14:52:14 [(1625.0, 1641.5)]
14:52:14 [(1593.5, 1697.0)]
14:52:14 [(1567.5, 1750.0)]
14:52:14 [(1537.5, 1792.0)]
14:52:14 [(1512.0, 1824.0)]
14:52:14 [(1489.5, 1851.0)]
14:52:14 [(1471.0, 1884.0)]
14:52:14 [(1461.5, 1924.5)]
14:52:14 [(1453.0, 1977.0)]
14:52:14 [(1452.5, 2009.0)]
14:52:14 [(1451.5, 2008.0)]
14:52:14 [(1439.0, 2009.0)]
14:52:15 [(1428.5, 2017.0)]
14:52:15 [(1401.0, 2023.0)]
14:52:15 [(1367.5, 2031.5)]
14:52:15 [(1305.5, 2049.5)]
14:52:15 [(1229.5, 2049.5)]
14:52:15 [(1159.5, 2046.5)]
14:52:15 [(1095.0, 2062.5)]
14:52:15 [(1033.5, 2074.5)]
14:52:15 [(966.0, 2090.5)]
14:52:15 [(904.5, 2093.5)]
14:52:16 [(822.0, 2071.0)]
14:52:16 [(745.0, 2066.0)]
14:52:16 [(686.0, 2072.0)]
14:52:16 [(626.5, 2098.0)]
14:52:16 [(562.5, 2108.5)]
14:52:16 [(494.5, 2108.5)]
14:52:16 [(433.5, 2112.5)]
14:52:16 [(357.0, 2113.5)]
14:52:16 []
14:52:16 []
14:52:16 []
14:52:17 []
14:52:17 []
14:52:17 []
14:52:17 []
14:52:17 []
14:52:17 []
14:52:17 [(-531.5, 2133.5)]
14:52:17 [(-645.5, 2126.5)]
14:52:17 [(-751.0, 2120.0)]
14:52:17 [(-827.5, 2115.0)]
